                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.03337,                0.10455,                 0.8589,                0.99235,                0.99341,                0.99395,                0.99395,                0.03794,                0.06748,                 0.3328,               0.002872,               0.002872,               0.002872
                     38,                0.03368,                0.10859,                0.85748,                0.99341,                0.99281,                0.99466,                0.99466,                0.05849,                0.09801,                0.35592,               0.002674,               0.002674,               0.002674
                     39,                0.03159,                0.10505,                 0.8589,                0.99211,                0.99753,                0.99471,                0.99471,                0.07366,                0.13219,                 0.3673,               0.002476,               0.002476,               0.002476
                     40,                    inf,                0.09561,                0.85799,                0.99299,                0.99619,                0.99471,                0.99471,                0.08008,                0.14223,                0.37926,               0.002278,               0.002278,               0.002278
                     41,                0.02766,                 0.0523,                0.82207,                0.99078,                0.99685,                0.99483,                0.99483,                0.11198,                  0.201,                0.42616,                0.00208,                0.00208,                0.00208
                     42,                0.02587,                 0.0506,                 0.8283,                0.99419,                0.99186,                0.99477,                0.99477,                0.09685,                0.18463,                0.40775,               0.001882,               0.001882,               0.001882
                     43,                0.02367,                0.04926,                0.83107,                 0.9956,                0.98608,                0.99464,                0.99464,                0.10434,                0.19422,                0.41262,               0.001684,               0.001684,               0.001684
                     44,                0.02273,                0.03763,                0.82575,                0.99532,                0.99395,                0.99491,                0.99491,                0.10268,                0.18992,                 0.4128,               0.001486,               0.001486,               0.001486
                     45,                0.02118,                0.04081,                0.82338,                0.99317,                0.99521,                0.99489,                0.99489,                0.09668,                0.17435,                0.40364,               0.001288,               0.001288,               0.001288
                     46,                 0.0201,                0.03575,                 0.8282,                0.99227,                 0.9979,                0.99489,                0.99489,                0.09047,                0.15677,                0.39394,                0.00109,                0.00109,                0.00109
                     47,                0.01818,                0.03688,                0.81913,                0.99531,                0.99269,                0.99485,                0.99485,                0.06981,                0.12954,                0.36584,               0.000892,               0.000892,               0.000892
                     48,                0.01666,                0.03545,                0.82193,                0.99445,                 0.9952,                0.99485,                0.99485,                0.06654,                0.12848,                0.36147,               0.000694,               0.000694,               0.000694
                     49,                    inf,                0.02988,                0.83039,                0.99468,                0.99407,                0.99482,                0.99482,                0.06659,                0.13122,                0.36126,               0.000496,               0.000496,               0.000496
                     50,                0.01368,                0.02544,                0.82323,                0.99445,                0.99447,                0.99476,                0.99476,                0.06737,                0.13936,                0.36115,               0.000298,               0.000298,               0.000298
