id;action_id;action_name;player_id;player_name;team_id;team_name;opponent_id;opponent_name;opponent_team_id;opponent_team_name;teammate_id;teammate_name;half;second;pos_x;pos_y;possession_id;possession_name;possession_team_id;possession_team_name;possession_number;possession_start_clear;possession_end_clear;playtype;hand;shot_type;drive;dribble_move;contesting;ts
76439828;1800100;1st quarter;;;;;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439842;100200;Game stop;;;;;;;;;;;1;102.591;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439848;100200;Game stop;;;;;;;;;;;1;130.988;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439860;100200;Game stop;;;;;;;;;;;1;231.490;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439872;100200;Game stop;;;;;;;;;;;1;327.068;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439895;100200;Game stop;;;;;;;;;;;1;488.395;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439901;100200;Game stop;;;;;;;;;;;1;559.002;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439916;100200;Game stop;;;;;;;;;;;1;657.849;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439932;100200;Game stop;;;;;;;;;;;1;794.814;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439941;100200;Game stop;;;;;;;;;;;1;810.161;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439959;100200;Game stop;;;;;;;;;;;1;941.677;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439963;100200;Game stop;;;;;;;;;;;1;964.434;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439968;100200;Game stop;;;;;;;;;;;1;1008.217;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439974;100200;Game stop;;;;;;;;;;;1;1033.244;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439984;1800500;Halftime;;;;;;;;;;;1;1095.598;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439985;1800200;2nd quarter;;;;;;;;;;;2;0.000;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76439998;100200;Game stop;;;;;;;;;;;2;23.339;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440002;100200;Game stop;;;;;;;;;;;2;44.799;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440006;100200;Game stop;;;;;;;;;;;2;75.216;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440010;100200;Game stop;;;;;;;;;;;2;105.750;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440028;100200;Game stop;;;;;;;;;;;2;216.006;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440040;100200;Game stop;;;;;;;;;;;2;295.234;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440044;100200;Game stop;;;;;;;;;;;2;328.745;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440056;100200;Game stop;;;;;;;;;;;2;444.592;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440061;100200;Game stop;;;;;;;;;;;2;467.915;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440069;100200;Game stop;;;;;;;;;;;2;511.677;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440079;100200;Game stop;;;;;;;;;;;2;574.493;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
76440092;100200;Game stop;;;;;;;;;;;2;655.666;;;;;;;;;;;;;;;;2017-12-07 05:16:00.572154
