id;action_id;action_name;player_id;player_name;team_id;team_name;opponent_id;opponent_name;opponent_team_id;opponent_team_name;teammate_id;teammate_name;half;second;pos_x;pos_y;possession_id;possession_name;possession_team_id;possession_team_name;possession_number;possession_start_clear;possession_end_clear;playtype;hand;shot_type;drive;dribble_move;contesting;ts
77138704;1800100;1st quarter;;;;;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138737;100200;Game stop;;;;;;;;;;;1;235.877;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138756;100200;Game stop;;;;;;;;;;;1;396.469;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138767;100200;Game stop;;;;;;;;;;;1;478.436;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138774;100200;Game stop;;;;;;;;;;;1;539.708;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138785;100200;Game stop;;;;;;;;;;;1;639.432;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138812;100200;Game stop;;;;;;;;;;;1;832.867;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138826;100200;Game stop;;;;;;;;;;;1;922.942;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138833;100200;Game stop;;;;;;;;;;;1;978.558;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138853;1800500;Halftime;;;;;;;;;;;1;1112.869;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138854;1800200;2nd quarter;;;;;;;;;;;2;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138868;100200;Game stop;;;;;;;;;;;2;23.235;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138881;100200;Game stop;;;;;;;;;;;2;111.557;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138890;100200;Game stop;;;;;;;;;;;2;175.675;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138902;100200;Game stop;;;;;;;;;;;2;277.753;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138911;100200;Game stop;;;;;;;;;;;2;312.436;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138923;100200;Game stop;;;;;;;;;;;2;385.196;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138961;100200;Game stop;;;;;;;;;;;2;645.397;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138963;1800600;Timeout;;;;;;;;;;;2;645.397;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138982;100200;Game stop;;;;;;;;;;;2;760.540;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138986;100200;Game stop;;;;;;;;;;;2;821.837;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139006;100200;Game stop;;;;;;;;;;;2;979.717;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139010;100200;Game stop;;;;;;;;;;;2;1020.346;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139016;100200;Game stop;;;;;;;;;;;2;1060.317;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139020;1800500;Halftime;;;;;;;;;;;2;1088.285;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139021;1800300;3rd quarter;;;;;;;;;;;3;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139034;100200;Game stop;;;;;;;;;;;3;24.719;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139053;100200;Game stop;;;;;;;;;;;3;154.281;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139066;100200;Game stop;;;;;;;;;;;3;244.241;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139073;100200;Game stop;;;;;;;;;;;3;280.364;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139077;100200;Game stop;;;;;;;;;;;3;323.522;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139091;100200;Game stop;;;;;;;;;;;3;444.929;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139094;100200;Game stop;;;;;;;;;;;3;475.795;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139098;100200;Game stop;;;;;;;;;;;3;503.678;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139113;100200;Game stop;;;;;;;;;;;3;626.201;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139139;100200;Game stop;;;;;;;;;;;3;845.973;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139149;100200;Game stop;;;;;;;;;;;3;918.445;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139158;100200;Game stop;;;;;;;;;;;3;1005.301;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139163;100200;Game stop;;;;;;;;;;;3;1045.344;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139175;100200;Game stop;;;;;;;;;;;3;1168.623;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139190;1800500;Halftime;;;;;;;;;;;3;1255.978;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139191;1800400;4th quarter;;;;;;;;;;;4;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139216;100200;Game stop;;;;;;;;;;;4;96.364;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139227;100200;Game stop;;;;;;;;;;;4;194.878;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139237;100200;Game stop;;;;;;;;;;;4;271.571;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139242;100200;Game stop;;;;;;;;;;;4;325.326;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139254;100200;Game stop;;;;;;;;;;;4;468.944;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139259;100200;Game stop;;;;;;;;;;;4;480.058;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139275;100200;Game stop;;;;;;;;;;;4;616.468;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139288;100200;Game stop;;;;;;;;;;;4;778.492;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139293;100200;Game stop;;;;;;;;;;;4;819.254;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139295;1800600;Timeout;;;;;;;;;;;4;819.254;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139297;100200;Game stop;;;;;;;;;;;4;863.527;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139300;100200;Game stop;;;;;;;;;;;4;899.259;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139306;100200;Game stop;;;;;;;;;;;4;954.208;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139314;100200;Game stop;;;;;;;;;;;4;1015.459;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77139323;1800700;Match end;;;;;;;;;;;4;1080.944;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138680;1601000;Starting lineup;370739;Marcelinho Huertas;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138681;1601000;Starting lineup;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138682;1601000;Starting lineup;5305;Kobe Bryant;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138683;1601000;Starting lineup;5308;Jordan Clarkson;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138684;1601000;Starting lineup;5323;Louis Williams;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138685;1601000;Starting lineup;5315;Julius Randle;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138686;1601000;Starting lineup;5318;D'Angelo Russell;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138687;1601000;Starting lineup;13675;Anthony Brown;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138688;1601000;Starting lineup;8339;Ryan Kelly;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138689;1601000;Starting lineup;7502;Brandon Bass;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138690;1601000;Starting lineup;5297;Tarik Black;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138691;1601000;Starting lineup;1171;Tim Duncan;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138692;1601000;Starting lineup;13666;Ray McCallum;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138693;1601000;Starting lineup;6254;Rasual Butler;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138694;1601000;Starting lineup;8593;Boban Marjanovic;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138695;1601000;Starting lineup;2422;Jonathon Simmons;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138696;1601000;Starting lineup;1164;Kyle Anderson;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138697;1601000;Starting lineup;1170;Manu Ginobili;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138698;1601000;Starting lineup;1166;Patty Mills;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138699;1601000;Starting lineup;7864;Boris Diaw;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138700;1601000;Starting lineup;1165;Kawhi Leonard;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138701;1601000;Starting lineup;1169;Danny Green;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138702;1601000;Starting lineup;7462;David West;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138703;1601000;Starting lineup;1167;Tony Parker;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138705;1600500;Guard;5305;Kobe Bryant;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138706;1600500;Guard;5308;Jordan Clarkson;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138707;1600500;Guard;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138708;1600500;Guard;5315;Julius Randle;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138709;1600500;Guard;5323;Louis Williams;3171;Los Angeles Lakers;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138710;1600500;Guard;1165;Kawhi Leonard;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138711;1600500;Guard;1167;Tony Parker;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138712;1600500;Guard;1169;Danny Green;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138713;1600500;Guard;1171;Tim Duncan;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138714;1600500;Guard;7462;David West;20;San Antonio Spurs;;;;;;;1;0.000;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138715;100100;Ball in play;;;20;San Antonio Spurs;;;;;;;1;74.353;;;;;;;;;;;;;;;;2019-10-24 12:32:00.746134
77138716;200300;Pick'n'Roll;1171;Tim Duncan;20;San Antonio Spurs;;;;;1167;Tony Parker;1;94.353;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138717;800202;2-;1171;Tim Duncan;20;San Antonio Spurs;;;;;1167;Tony Parker;1;94.353;26.36;8.43;;;;;;;;Pick-n-roll without a ball;;Hook;;;;2017-12-07 12:09:04.745915
77138718;100300;Rebound;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;;;1;94.353;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138719;400101;Accurate pass;5305;Kobe Bryant;3171;Los Angeles Lakers;;;;;5311;Roy Hibbert;1;111.086;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138720;200300;Pick'n'Roll;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;5305;Kobe Bryant;1;111.086;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138721;800201;2+;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;5305;Kobe Bryant;1;111.086;23.27;5.58;;;;;;;;Pick-n-roll without a ball;;Jumper;;;;2017-12-07 12:09:04.745915
77138722;800202;2-;1171;Tim Duncan;20;San Antonio Spurs;5305;Kobe Bryant;3171;Los Angeles Lakers;1167;Tony Parker;1;130.749;25.37;7.56;;;;;;;;Cut;;Jumper;;;;2017-12-07 12:09:04.745915
77138723;100300;Rebound;5308;Jordan Clarkson;3171;Los Angeles Lakers;;;;;;;1;130.749;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138724;800202;2-;5308;Jordan Clarkson;3171;Los Angeles Lakers;1169;Danny Green;20;San Antonio Spurs;;;1;137.908;26.42;7.56;;;;;;;;Transition;;Lay up;;;;2017-12-07 12:09:04.745915
77138725;400101;Accurate pass;7462;David West;20;San Antonio Spurs;;;;;1169;Danny Green;1;181.921;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138726;800301;3+;1169;Danny Green;20;San Antonio Spurs;;;;;7462;David West;1;181.921;20.48;11.76;;;;;;;;Catch and shoot;;Jumper;;;;2017-12-07 12:09:04.745915
77138727;400101;Accurate pass;5305;Kobe Bryant;3171;Los Angeles Lakers;;;;;5311;Roy Hibbert;1;198.615;;;;;;;;;;;;;;;;2017-12-07 12:09:04.745915
77138728;200300;Pick'n'Roll;5311;Roy Hibbert;3171;Los Angeles Lakers;;;;;5305;Kobe Bryant;1;198.615;;;;;;;;;;Pick'n'pop;;;;;;2017-12-07 12:09:04.745915
