id;action_id;action_name;player_id;player_name;team_id;team_name;opponent_id;opponent_name;opponent_team_id;opponent_team_name;teammate_id;teammate_name;half;second;pos_x;pos_y;possession_id;possession_name;possession_team_id;possession_team_name;possession_number;possession_start_clear;possession_end_clear;playtype;hand;shot_type;drive;dribble_move;contesting;ts
102371667;1601000;Starting lineup;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371668;1601000;Starting lineup;6115;Dewayne Dedmon;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371669;1601000;Starting lineup;7505;Shabazz Napier;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371670;1601000;Starting lineup;9367;Jason Smith;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371671;1601000;Starting lineup;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371672;1601000;Starting lineup;6113;Elfrid Payton;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371673;1601000;Starting lineup;6114;Mario Hezonja;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371674;1601000;Starting lineup;6110;Aaron Gordon;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371675;1601000;Starting lineup;6121;Evan Fournier;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371676;1601000;Starting lineup;6119;C.J. Watson;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371677;1800100;1st quarter;;;;;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371683;1600500;Guard;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371684;1600500;Guard;6113;Elfrid Payton;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371685;1600500;Guard;6115;Dewayne Dedmon;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371686;1600500;Guard;6121;Evan Fournier;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371687;1600500;Guard;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;0.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371689;100400;Steal;6113;Elfrid Payton;3226;Orlando Magic;6391;Nerlens Noel;3224;Philadelphia 76ers;;;1;85.078;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371690;800202;2-;7465;Victor Oladipo;3226;Orlando Magic;6397;T.J. McConnell;3224;Philadelphia 76ers;;;1;90.139;26.42;6.03;;;;;;;;Transition;;Jumper;;;;2018-02-26 13:49:01.156173
102371692;100200;Game stop;;;;;;;;;;;1;99.677;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371693;300100;Foul;6115;Dewayne Dedmon;3226;Orlando Magic;6394;Jahlil Okafor;3224;Philadelphia 76ers;;;1;99.677;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371697;100200;Game stop;;;;;;;;;;;1;128.930;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371698;300100;Foul;1886;Tobias Harris;3226;Orlando Magic;7466;Jerami Grant;3224;Philadelphia 76ers;;;1;128.930;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371700;100100;Ball in play;;;3226;Orlando Magic;;;;;;;1;153.975;;;;;;;;;;;;;;;;2019-10-24 12:19:00.713958
102371701;200300;Pick'n'Roll;1886;Tobias Harris;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;164.975;;;;;;;;;;Pick'n'pop;;;;;;2018-02-26 13:49:01.156173
102371702;800202;2-;1886;Tobias Harris;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;164.975;22.28;9.51;;;;;;;;Pick'n'pop;;Jumper;;;;2018-02-26 13:49:01.156173
102371707;100300;Rebound;6115;Dewayne Dedmon;3226;Orlando Magic;;;;;;;1;184.108;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371711;800202;2-;6121;Evan Fournier;3226;Orlando Magic;6394;Jahlil Okafor;3224;Philadelphia 76ers;;;1;218.140;25.37;7.35;;;;;;;;Catch and Drive;;Jumper;Drives Right;;;2018-02-26 13:49:01.156173
102371713;100400;Steal;1886;Tobias Harris;3226;Orlando Magic;6397;T.J. McConnell;3224;Philadelphia 76ers;;;1;225.042;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371714;800201;2+;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;231.406;26.99;7.44;;;;;;;;Transition;;Lay up;;;;2018-02-26 13:49:01.156173
102371717;100300;Rebound;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;249.197;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371718;400101;Accurate pass;1886;Tobias Harris;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;256.385;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371719;800201;2+;6113;Elfrid Payton;3226;Orlando Magic;;;;;1886;Tobias Harris;1;256.385;24.50;10.11;;;;;;;;Transition;;Jumper;;;;2018-02-26 13:49:01.156173
102371722;800202;2-;6113;Elfrid Payton;3226;Orlando Magic;;;;;;;1;293.119;24.05;7.62;;;;;;;;Catch and Drive;;Jumper;;;;2018-02-26 13:49:01.156173
102371726;800302;3-;1886;Tobias Harris;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;325.397;19.19;7.32;;;;;;;;Catch and shoot;;Jumper;;;;2018-02-26 13:49:01.156173
102371730;800202;2-;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;353.799;21.11;5.73;;;;;;;;Pick'n'Roll;;Jumper;;;;2018-02-26 13:49:01.156173
102371733;100200;Game stop;;;;;;;;;;;1;366.185;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371736;100100;Ball in play;;;3226;Orlando Magic;;;;;;;1;399.467;;;;;;;;;;;;;;;;2019-10-24 12:19:00.713958
102371737;400101;Accurate pass;1886;Tobias Harris;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;409.467;;;;;;;;;;Hand offs;;;;;;2018-02-26 13:49:01.156173
102371738;800201;2+;6113;Elfrid Payton;3226;Orlando Magic;;;;;1886;Tobias Harris;1;409.467;24.95;7.56;;;;;;;;Hand offs;;Floater;;;;2018-02-26 13:49:01.156173
102371739;100400;Steal;6113;Elfrid Payton;3226;Orlando Magic;6391;Nerlens Noel;3224;Philadelphia 76ers;;;1;433.000;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371740;400101;Accurate pass;6113;Elfrid Payton;3226;Orlando Magic;;;;;6121;Evan Fournier;1;440.392;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371741;800301;3+;6121;Evan Fournier;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;440.392;20.36;11.88;;;;;;;;Transition;;Jumper;;;;2018-02-26 13:49:01.156173
102371744;800201;2+;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;483.664;27.38;12.42;;;;;;;;Isolation;;Jumper;;Quick first step;;2018-02-26 13:49:01.156173
102371745;100200;Game stop;;;;;;;;;;;1;483.664;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371747;1600500;Guard;9367;Jason Smith;3226;Orlando Magic;6115;Dewayne Dedmon;3226;Orlando Magic;;;1;483.664;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371751;100300;Rebound;1886;Tobias Harris;3226;Orlando Magic;;;;;;;1;545.864;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371752;400101;Accurate pass;6113;Elfrid Payton;3226;Orlando Magic;;;;;7465;Victor Oladipo;1;552.953;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371753;800301;3+;7465;Victor Oladipo;3226;Orlando Magic;;;;;6113;Elfrid Payton;1;552.953;25.04;0.48;;;;;;;;Transition;;Jumper;;;;2018-02-26 13:49:01.156173
102371759;100300;Rebound;9367;Jason Smith;3226;Orlando Magic;;;;;;;1;594.029;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371760;400101;Accurate pass;7465;Victor Oladipo;3226;Orlando Magic;;;;;9367;Jason Smith;1;607.820;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371761;800201;2+;9367;Jason Smith;3226;Orlando Magic;;;;;7465;Victor Oladipo;1;607.820;21.83;5.82;;;;;;;;Catch and shoot;;Jumper;;;;2018-02-26 13:49:01.156173
102371762;100200;Game stop;;;;;;;;;;;1;616.439;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371763;300100;Foul;6113;Elfrid Payton;3226;Orlando Magic;6397;T.J. McConnell;3224;Philadelphia 76ers;;;1;616.439;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371765;1600500;Guard;6114;Mario Hezonja;3226;Orlando Magic;6121;Evan Fournier;3226;Orlando Magic;;;1;616.439;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371766;1600500;Guard;6110;Aaron Gordon;3226;Orlando Magic;1886;Tobias Harris;3226;Orlando Magic;;;1;616.439;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371771;100200;Game stop;;;;;;;;;;;1;676.423;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371772;100300;Rebound;;;3226;Orlando Magic;;;;;;;1;676.423;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371773;100100;Ball in play;;;3226;Orlando Magic;;;;;;;1;710.277;;;;;;;;;;;;;;;;2019-10-24 12:19:00.713958
102371774;100200;Game stop;;;;;;;;;;;1;721.277;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371776;100100;Ball in play;;;3226;Orlando Magic;;;;;;;1;738.970;;;;;;;;;;;;;;;;2019-10-24 12:19:00.713958
102371777;800202;2-;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;747.970;23.75;6.78;;;;;;;;Screen off;;Jumper;;;;2018-02-26 13:49:01.156173
102371778;100300;Rebound;6110;Aaron Gordon;3226;Orlando Magic;;;;;;;1;747.970;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371779;800201;2+;6110;Aaron Gordon;3226;Orlando Magic;;;;;;;1;747.970;26.96;7.44;;;;;;;;Putbacks;;;;;;2018-02-26 13:49:01.156173
102371781;100300;Rebound;6114;Mario Hezonja;3226;Orlando Magic;;;;;;;1;757.427;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371782;800202;2-;6114;Mario Hezonja;3226;Orlando Magic;;;;;;;1;764.660;26.72;9.21;;;;;;;;Transition;;Jumper;;;;2018-02-26 13:49:01.156173
102371783;100300;Rebound;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;764.660;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371784;800201;2+;7465;Victor Oladipo;3226;Orlando Magic;;;;;;;1;764.660;26.66;7.59;;;;;;;;Putbacks;;;;;;2018-02-26 13:49:01.156173
102371787;100200;Game stop;;;;;;;;;;;1;785.995;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371788;300100;Foul;6114;Mario Hezonja;3226;Orlando Magic;6398;Richaun Holmes;3224;Philadelphia 76ers;;;1;785.995;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371789;1600500;Guard;6119;C.J. Watson;3226;Orlando Magic;6113;Elfrid Payton;3226;Orlando Magic;;;1;785.995;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371792;1600500;Guard;7505;Shabazz Napier;3226;Orlando Magic;7465;Victor Oladipo;3226;Orlando Magic;;;1;785.995;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371795;100300;Rebound;9367;Jason Smith;3226;Orlando Magic;;;;;;;1;843.137;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371796;800202;2-;7505;Shabazz Napier;3226;Orlando Magic;;;;;;;1;855.318;21.41;6.81;;;;;;;;Hand offs;;Jumper;;;;2018-02-26 13:49:01.156173
102371798;100200;Game stop;;;;;;;;;;;1;870.424;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371801;1800600;Timeout;;;3226;Orlando Magic;;;;;;;1;870.424;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371802;100100;Ball in play;;;3226;Orlando Magic;;;;;;;1;884.022;;;;;;;;;;;;;;;;2019-10-24 12:19:00.713958
102371803;400101;Accurate pass;6119;C.J. Watson;3226;Orlando Magic;;;;;6114;Mario Hezonja;1;901.022;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
102371804;800201;2+;6114;Mario Hezonja;3226;Orlando Magic;;;;;6119;C.J. Watson;1;901.022;23.60;9.06;;;;;;;;Screen off;;Jumper;;;;2018-02-26 13:49:01.156173
102371806;100300;Rebound;7505;Shabazz Napier;3226;Orlando Magic;;;;;;;1;922.507;;;;;;;;;;;;;;;;2018-02-26 13:49:01.156173
